Source,Target,Weight
Richard Lalor Sheil,John Murray,2
Richard Macdonald Caunter,T.; W. Boone,1
Richard Nancollas,J. Evans; Sons,1
Richard Savage,F. Newbery,1
Richard Warwick Bond,Elkin Mathews,1
Richard Zouch S Troughton,Saunders; Otley,1
Rob Macaire,G. Routledge; Sons,1
Robert Bell,John Mortimer,1
Robert Bridges,G. Bell; Sons,1
Robert Browning,G. Bell; Sons,1
Robert Browning,G. Routledge; Sons,2
Robert Catesby,Billing; Sons,1
Robert Chamberlain,Andrew Crooke,1
Robert Daborne,Rob. Pollard; John Sweeting,1
Robert Davenport,Andrew Pennycuicke,1
Robert Davenport,Samuel Speed,1
Robert Gould,Richard Bentley & Sons,1
Robert Mitchell,Effingham Wilson,1
Robert Neilson Stephens,W. Briggs,1
Robert Overton,Hutchinson; Co.,1
Roger Boyle Orrery,Francis Saunders,1
Rose Mortimer,London Romance Co.,1
S. A Coxhead,"Digby, Long",1
Samuel Campbell Rowley,Nicholas Vavasour,1
Samuel James Arnold,Richard Phillips,4
Samuel Rutherford Crockett,T. Fisher Unwin,1
Samuel Taylor Coleridge,John Pearson,1
Sarah Richardson,J. Lowndes,1
Seneca,Jacob Tonson,1
Shafto Justin Adair Fitzgerald,George Redway,1
Sidney Carlton,Hopwood; Crew,1
Sidney Jones,"Ascherberg, Hopwood; Crew",1
Silvio Pellico,Charles W. Seaver,1
"Sir Charles Sedley, 5th Baronet",L. C.; Timothy Goodwin,1
Steve Clarke,Longman,1
Stratford Canning Stratford De Redcliffe,Bernard Quaritch,1
St¨¦phanie F¨¦licit¨¦ du Crest de Saint-Aubin,G. G. T.; J. Robinson,1
Stéphanie Félicité Ducrest de Saint-Aubin de Genlis,G. G. T.; J. Robinson,1
T R.,F. Bowman,1
T. D.,R. Bentley;J. Magnes,1
T. Malcolm Watson,J. Williams,1
T. P M.,Griffith; Farran,1
T. R. D L.,John Harefinch,1
Tadeusz Peiper,L. Curtis,1
Thaddeus Welch,Burt; Sons,1
Theodore Davenport Warner,J. B. Lippincott; Co.,1
Thomas A. Scott,Henry Rhodes,1
Thomas Arden,J. W. Jarvis; Son,1
Thomas B. Cooke,J. Roberts,1
Thomas Corneille,Tho. Heath,1
Thomas Cromwell,Thomas Davison,1
Thomas Cruddas Porteus,T. C. Porteus,1
Thomas Dekker,Nicholas Vavasour,1
Thomas Dilke,H. Newman,1
Thomas Duffet,John Smith,1
Thomas Hardy,Osgood; McIlvaine,1
Thomas Hardy,"Smith, Elder; Co.",1
Thomas Hazlehurst,J. W. Woodland,1
Thomas Heywood,H. Shepard,1
Thomas Heywood,J. Becket,1
Thomas Heywood,J. Crouch,1
Thomas Heywood,R. Raworth,1
Thomas Hosmer Shepherd,Jones; Co.,1
Thomas Hugo,"Edward Howell;Simpkin, Marshall; Co.",4
Thomas James Serle,W. S. Johnson,1
Thomas John Dibdin,Barker; Son,1
Thomas John Dibdin,J. Parker,1
Thomas John Dibdin,"Lackington, Allen; Co.",3
Thomas John Dibdin,Roach; Co.,1
Thomas Lewis,"Digby, Long",1
Thomas Love Peacock,Constable; Co.,1
Thomas May,T. Jones,1
Thomas Middleton,Henry Herringman,1
Thomas Middleton,John Spencer,1
Thomas Middleton,Richard Marriot,1
Thomas Middleton,Robert Crofts,1
Thomas Middleton,Tho. Johnson,1
